SF;Art;Beschreibung;KZ_Bereich;KZ_Bereich_JG;AbgangsJG;Flag;geaendert;gueltigVon;gueltigBis
BK;5D;Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;17;3;**;1;2016-06-08 17:08:24;;
BK;5D;Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;16;2;**;1;2016-06-08 17:08:21;;
BK;5D;Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;18;4;**;1;2016-06-08 17:08:41;;
FW;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;0;0;12;1;2016-04-27 14:50:56;;
SB;5D;Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;16;2;**;1;2016-06-08 17:22:21;;
SB;5D;Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;17;3;**;1;2016-06-08 17:22:23;;
SB;5D;Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;18;4;**;1;2016-06-08 17:22:31;;
SB;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;12;4;**;1;2018-05-03 14:23:58;;
SB;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;7;13;**;1;2017-01-05 15:58:07;;
SB;5D;Berufsabschluss und Hauptschulabschluss nach Klasse 10;9;13;**;1;2017-01-05 15:58:25;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);12;4;**;1;2018-05-03 13:36:27;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);13;4;**;1;2018-05-03 14:25:46;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);7;13;**;1;2017-01-05 15:58:46;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);8;13;**;1;2017-01-05 15:58:48;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);9;13;**;1;2017-01-05 15:58:50;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-09 12:08:23;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2016-06-09 12:08:22;;
BK;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-09 12:15:17;;
FW;5F;Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniaschule);0;0;12;1;2016-04-27 15:38:46;;
SB;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);12;4;**;1;2018-05-03 14:24:00;;
SB;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2016-06-08 17:21:24;;
SB;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-08 17:21:26;;
SB;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-08 17:21:33;;
SB;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);7;13;**;1;2017-01-05 15:58:59;;
SB;5F;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);9;13;**;1;2017-01-05 15:59:23;;
BK;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);12;4;**;1;2018-05-03 13:36:35;;
BK;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);7;13;**;1;2017-01-05 15:59:46;;
BK;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);8;13;**;1;2017-01-05 15:59:49;;
BK;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);9;13;**;1;2017-01-05 15:59:54;;
BK;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-08 17:09:12;;
BK;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2016-06-08 17:09:52;;
BK;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-08 17:09:16;;
FW;5G;Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg);0;0;03;1;2021-04-13 11:52:56;;
FW;5G;Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg);0;0;04;1;2022-08-10 12:56:45;;
FW;5G;Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg);0;0;05;1;2021-04-13 11:53:22;;
FW;5G;Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniaschule);0;0;12;1;2016-04-27 15:39:08;;
SB;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);12;4;**;1;2018-05-03 14:24:03;;
SB;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2016-06-08 17:21:35;;
SB;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-08 17:21:38;;
SB;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-08 17:22:09;;
SB;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);7;13;**;1;2017-01-05 16:00:00;;
SB;5G;Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk);9;13;**;1;2017-01-05 16:00:14;;
BK;5J;Berufsabschluss und Fachhochschulreife;13;4;**;1;2018-05-03 14:25:48;;
BK;5J;Berufsabschluss und Fachhochschulreife;8;13;**;1;2017-01-05 16:00:42;;
BK;5J;Berufsabschluss und Fachhochschulreife;9;13;**;1;2017-01-05 16:00:45;;
BK;5J;Berufsabschluss und Fachhochschulreife;19;12;**;1;2016-07-04 10:34:57;;
BK;5J;Berufsabschluss und Fachhochschulreife;27;4;**;1;2016-03-01 12:09:12;;
BK;5J;Berufsabschluss und Fachhochschulreife;38;3;**;1;2020-08-13 11:16:54;;
FW;5J;Berufsabschluss und Fachhochschulreife (nur Hiberniakolleg);0;0;05;1;2021-04-13 11:53:32;;
FW;5J;Berufsabschluss und Fachhochschulreife (nur Hiberniakolleg);0;0;06;1;2021-04-13 11:52:50;;
SB;5J;Berufsabschluss und Fachhochschulreife;9;13;**;1;2017-01-05 16:21:16;;
SB;5J;Berufsabschluss und Fachhochschulreife;19;12;**;1;2016-07-04 10:55:30;;
SB;5J;Berufsabschluss und Fachhochschulreife;27;4;**;1;2016-03-01 12:17:47;;
SB;5J;Berufsabschluss und Fachhochschulreife;38;3;**;1;2020-08-13 11:21:28;;
BK;5K;Berufsabschluss und Allgemeine Hochschulreife;27;4;**;1;2016-03-01 12:18:05;;
FW;5K;Berufsabschluss und Abitur (allgemeine Hochschulreife) (nur Hiberniakolleg);0;0;06;1;2013-06-06 09:22:48;;
SB;5K;Berufsabschluss und allgemeine Hochschulreife;27;4;**;1;2016-03-01 12:19:02;;
BK;6A;Fachschulabschluss;33;1;**;1;2016-03-01 12:20:09;;
BK;6A;Fachschulabschluss;35;2;**;1;2016-03-01 12:22:12;;
BK;6A;Fachschulabschluss;31;2;**;1;2016-03-01 12:19:52;;
BK;6A;Fachschulabschluss;35;3;**;1;2016-03-01 12:22:17;;
BK;6A;Fachschulabschluss;32;4;**;1;2016-03-01 12:19:59;;
BK;6A;Fachschulabschluss;37;3;**;1;2016-03-01 12:20:44;;
BK;6A;Fachschulabschluss;36;6;**;1;2016-03-01 12:22:01;;
BK;6A;Fachschulabschluss;34;2;**;1;2016-03-01 12:20:36;;
SB;6A;Fachschulabschluss;32;4;**;1;2016-03-01 12:23:40;;
BK;6F;Fachschulabschluss und Mittlerer Schulabschluss;31;2;**;1;2016-03-02 12:44:37;;
BK;6F;Fachschulabschluss und MittlererSchulabschluss;32;4;**;1;2016-03-02 12:44:40;;
BK;6F;Fachschulabschluss und Mittlerer Schulabschluss;35;3;**;1;2016-03-02 12:44:45;;
BK;6F;Fachschulabschluss und Mittlerer Schulabschluss;36;6;**;1;2016-03-02 12:44:47;;
BK;6F;Fachschulabschluss und Mittlerer Schulabschluss;37;3;**;1;2016-03-02 12:44:50;;
BK;6F;Fachschulabschluss und Mittlerer Schulabschluss;35;2;**;1;2016-03-02 12:44:42;;
SB;6F;Fachschulabschluss und Mittlerer Schulabschluss;32;4;**;1;2016-03-02 13:54:00;;
BK;6J;Fachschulabschluss und Fachhochschulreife;31;2;**;1;2016-03-01 12:26:48;;
BK;6J;Fachschulabschluss und Fachhochschulreife;32;4;**;1;2016-03-01 12:26:53;;
BK;6J;Fachschulabschluss und Fachhochschulreife;35;3;**;1;2016-03-01 12:27:05;;
BK;6J;Fachschulabschluss und Fachhochschulreife;36;6;**;1;2016-03-01 12:27:13;;
BK;6J;Fachschulabschluss und Fachhochschulreife;37;3;**;1;2016-03-01 12:27:17;;
BK;6J;Fachschulabschluss und Fachhochschulreife;35;2;**;1;2016-03-01 12:27:02;;
SB;6J;Fachschulabschluss und Fachhochschulreife;32;4;**;1;2016-03-01 12:26:45;;
BK;8D;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);24;2;**;1;2016-03-01 12:28:40;;
BK;8D;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);25;1;**;1;2016-03-01 12:28:16;;
BK;8D;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);26;3;**;1;2016-03-01 12:29:00;;
SB;8D;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);26;3;**;1;2016-03-01 12:29:24;;
SB;8D;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);24;2;**;1;2016-03-01 12:29:08;;
SB;8D;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);25;1;**;1;2016-03-01 12:29:10;;
BK;8G;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);24;2;**;1;2016-03-01 12:29:30;;
BK;8G;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);25;1;**;1;2016-03-01 12:29:33;;
BK;8G;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);26;3;**;1;2016-03-01 12:29:51;;
SB;8G;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);26;3;**;1;2016-03-01 12:30:39;;
SB;8G;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);24;2;**;1;2016-03-01 12:30:33;;
SB;8G;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler);25;1;**;1;2016-03-01 12:30:36;;
BK;8J;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;24;2;**;1;2016-03-01 12:30:03;;
BK;8J;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;26;3;**;1;2016-03-01 12:30:30;;
BK;8J;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;25;1;**;1;2016-03-01 12:30:05;;
SB;8J;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;24;2;**;1;2016-03-01 12:30:41;;
SB;8J;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;25;1;**;1;2016-03-01 12:30:44;;
SB;8J;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife;26;3;**;1;2016-03-01 12:31:04;;
BK;8K;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;29;1;**;1;2016-03-01 12:31:43;;
BK;8K;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;30;2;**;1;2016-03-01 12:31:56;;
SB;8K;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;29;1;**;1;2016-03-01 12:32:28;;
SB;8K;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife;30;2;**;1;2016-03-01 12:32:31;;
BK;8Q;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife;29;1;**;1;2016-03-01 12:32:00;;
BK;8Q;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife;30;2;**;1;2016-03-01 12:32:24;;
SB;8Q;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife;29;1;**;1;2016-03-01 12:32:35;;
SB;8Q;Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife;30;2;**;1;2016-03-01 12:32:49;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);12;4;**;1;2018-05-03 14:23:36;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);13;4;**;1;2018-05-03 14:57:04;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);14;1;**;1;2017-07-24 07:03:23;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);15;1;**;1;2017-07-24 07:03:25;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);16;7;**;1;2017-07-24 07:03:26;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);17;8;**;1;2017-07-24 07:03:27;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);18;9;**;1;2017-07-24 07:03:28;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);37;8;**;1;2017-07-24 07:04:25;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);7;9;**;1;2017-07-24 07:03:02;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);8;9;**;1;2017-07-24 07:03:05;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);9;9;**;1;2017-07-24 07:03:07;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);5;1;**;1;2017-07-24 07:02:56;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);6;1;**;1;2017-07-24 07:02:58;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);1;9;**;1;2017-07-24 07:02:45;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);19;9;**;1;2017-07-24 07:03:29;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);20;7;**;1;2017-07-24 07:03:34;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);21;7;**;1;2017-07-24 07:03:37;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);22;1;**;1;2017-07-24 07:03:43;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);23;1;**;1;2017-07-24 07:03:45;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);24;7;**;1;2017-07-24 07:03:46;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);25;1;**;1;2017-07-24 07:03:52;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);26;8;**;1;2017-07-24 07:03:54;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);27;9;**;1;2017-07-24 07:03:55;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);28;8;**;1;2017-07-24 07:03:56;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);29;1;**;1;2017-07-24 07:03:57;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);30;7;**;1;2017-07-24 07:04:01;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);31;7;**;1;2017-07-24 07:04:03;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);32;9;**;1;2017-07-24 07:04:04;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);33;1;**;1;2017-07-24 07:04:05;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);34;7;**;1;2017-07-24 07:04:06;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);35;8;**;1;2017-07-24 07:04:08;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);36;11;**;1;2017-07-24 07:04:12;;
BK;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);38;8;**;1;2020-08-13 11:08:34;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);23;1;**;1;2017-07-24 08:34:01;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);24;7;**;1;2017-07-24 08:34:10;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);25;1;**;1;2017-07-24 08:34:13;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);26;8;**;1;2017-07-24 08:34:17;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);27;9;**;1;2017-07-24 08:34:19;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);28;8;**;1;2017-07-24 08:34:24;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);29;1;**;1;2017-07-24 08:34:30;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);30;7;**;1;2017-07-24 08:34:27;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);32;9;**;1;2017-07-24 08:34:38;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);7;9;**;1;2017-07-24 08:33:08;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);9;9;**;1;2017-07-24 08:33:11;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);12;4;**;1;2018-05-03 14:24:08;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);14;1;**;1;2017-07-24 08:33:27;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);1;9;**;1;2017-07-24 08:32:51;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);15;1;**;1;2017-07-24 08:33:31;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);16;7;**;1;2017-07-24 08:33:34;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);17;8;**;1;2017-07-24 08:33:38;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);18;9;**;1;2017-07-24 08:33:45;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);19;9;**;1;2017-07-24 08:33:48;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);20;7;**;1;2017-07-24 08:33:51;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);21;7;**;1;2017-07-24 08:33:53;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);22;1;**;1;2017-07-24 08:33:56;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);5;1;**;1;2017-07-24 08:32:55;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);6;1;**;1;2017-07-24 08:33:00;;
SB;9A;Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher);38;8;**;1;2020-08-13 11:17:48;;
FW;A;Ohne Abschluss;0;0;06;1;2016-04-27 14:57:33;;
FW;A;Ohne Abschluss;0;0;07;1;2016-04-27 14:57:47;;
FW;A;Ohne Abschluss;0;0;08;1;2016-04-27 14:58:04;;
FW;A;Ohne Abschluss;0;0;09;1;2016-04-27 14:58:14;;
FW;A;Ohne Abschluss;0;0;10;1;2016-04-27 14:58:25;;
FW;A;Ohne Abschluss;0;0;11;1;2016-04-27 14:58:38;;
FW;A;Ohne Abschluss;0;0;12;1;2016-04-27 14:58:49;;
FW;A;Ohne Abschluss;0;0;13;1;2016-04-27 14:59:20;;
FW;A;Ohne Abschluss;0;0;71;1;2016-04-27 15:00:04;;
GE;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;06;1;2013-06-05 14:13:53;;
GE;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;07;1;2013-06-05 14:13:56;;
GE;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;08;1;2013-06-05 14:13:58;;
GE;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Hauptschulabschluss erworben);0;0;09;1;2019-05-09 11:03:56;;
GE;A;Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden);0;0;10;1;2021-04-13 11:19:15;;
GM;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;06;1;2013-06-06 08:43:26;;
GM;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;07;1;2014-04-04 12:23:55;;
GM;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;08;1;2015-05-08 13:06:19;;
GM;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Hauptschulabschluss erworben);0;0;09;1;2019-05-09 11:04:05;;
GM;A;Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden);0;0;10;1;2021-04-13 11:28:29;;
GM;A;Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden);0;0;1A;1;2021-04-13 12:30:44;;
GM;A;Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden);0;0;1B;1;2021-04-13 12:30:52;;
GY;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;06;1;2013-06-06 09:31:02;;
GY;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;07;1;2013-06-06 09:31:06;;
GY;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;08;1;2013-06-06 09:31:08;;
GY;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;09;1;2013-06-06 09:31:27;;
GY;A;Ohne Abschluss (nur für kürzlich zugewanderte Seiteneinsteiger, die nicht aus Klasse 9 versetzt wurden);0;0;10;1;2021-04-13 11:33:39;;
H;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;06;1;2013-06-04 16:02:44;;
H;A;Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt);0;0;07;1;2013-06-04 16:02:47;;
